domain,cluster_id,is_singleton
mazda-autohaus-fritsche-grossschoenau.de,cluster_0,False
mazda-autohaus-hamester-hamburg-bergedorf.de,cluster_0,False
mazda-autohaus-hansmann-kassel.de,cluster_0,False
mazda-autohaus-torp-wilhelmshaven.de,cluster_0,False
mazda-autohaus-boehme-lutherstadt-wittenberg.de,cluster_0,False
mazda-autohaus-roeser-grossmaischeid.de,cluster_0,False
mazda-service-koch-ludwigsfelde.de,cluster_0,False
mazda-service-metz-marne.de,cluster_0,False
mazda-autocentrum-engin-holzminden.de,cluster_0,False
mazda-autohaus-hansmann-melsungen.de,cluster_0,False
mazda-autohaus-gerhard-figge-waldeck-hoeringhausen.de,cluster_0,False
mazda-autohaus-berlenbach-bergischgladbach.de,cluster_0,False
mazda-autohaus-haeusler-fuerstenfeldbruck.de,cluster_0,False
mazda-autohaus-kilger-regen.de,cluster_0,False
mazda-autohaus-roessel-birkenau.de,cluster_0,False
mazda-autohaus-weber-magdeburg.de,cluster_0,False
mazda-autohaus-thoss-falkenstein.de,cluster_0,False
mazda-autohaus-dorner-riedlingen.de,cluster_0,False
mazda-autohaus-wilhelm-huellhorst.de,cluster_0,False
mazda-autohaus-lotspeich-muenchen.de,cluster_0,False
mazda-autohaus-voigtlaender-meyer-hamburg.de,cluster_0,False
mazda-autohaus-schmidt-grossenhain.de,cluster_0,False
mazda-autohaus-dohm-horn-bad-meinberg.de,cluster_0,False
mazda-autohaus-albers-doerpen.de,cluster_0,False
mazda-autohaus-lackmann-sendenhorst.de,cluster_0,False
mazda-autohaus-lohmann-kreuztal.de,cluster_0,False
mazda-autohaus-weiss-niedernhausen.de,cluster_0,False
mazda-autohaus-buelo-naumburg.de,cluster_0,False
mazda-autohaus-schreier-biebergemuend-bieber.de,cluster_0,False
mazda-autohaus-hoeffner-clausen.de,cluster_0,False
mazda-autohaus-gruendel-doerth.de,cluster_0,False
mazda-autohaus-wilk-kaczmarek-schwerin.de,cluster_0,False
mazda-autohaus-w-k-kamen.de,cluster_0,False
mazda-autohaus-schindlbeck-straubing.de,cluster_0,False
mazda-autohaus-banaszak-wesel.de,cluster_0,False
mazda-autohaus-kopke-bendel-marl.de,cluster_0,False
mazda-autohaus-wuttke-gummersbach.de,cluster_0,False
mazda-autohaus-witthoeft-bad-oldesloe.de,cluster_0,False
mazda-autohaus-ruettiger-wallduern.de,cluster_0,False
mazda-autohaus-heider-dresden.de,cluster_0,False
mazda-autohaus-ubben-aurich.de,cluster_0,False
mazda-autohaus-stoelzel-doehlau.de,cluster_0,False
mazda-autohaus-abs-erlangen.de,cluster_0,False
mazda-autohaus-misch-uebach-palenberg.de,cluster_0,False
mazda-autohaus-schwenke-duisburg.de,cluster_0,False
mazda-autohaus-banaszak-kleve.de,cluster_0,False
mazda-autohaus-suedring-datteln.de,cluster_0,False
mazda-autohaus-brutschin-lenzkirch.de,cluster_0,False
mazda-autohaus-hohenfeld-dinslaken.de,cluster_0,False
mazda-autohaus-kaschmieder-waren.de,cluster_0,False
mazda-autohaus-bayer-goessweinstein.de,cluster_0,False
mazda-autohaus-trumpf-wimmelburg.de,cluster_0,False
mazda-autohaus-ehrlich-aschaffenburg.de,cluster_0,False
mazda-autohaus-dittrich-genthin-huettermuehle.de,cluster_0,False
mazda-autohaus-elstner-jena.de,cluster_0,False
mazda-autohaus-becker-homburg-bruchhof.de,cluster_0,False
mazda-autohaus-lehmann-senftenberg.de,cluster_0,False
mazda-autohaus-rottmann-bottrop.de,cluster_0,False
mazda-autohaus-ahb-gotha.de,cluster_0,False
mazda-autohaus-friedmann-steinfeld.de,cluster_0,False
mazda-autohaus-mork-rockenhausen.de,cluster_0,False
mazda-autohaus-tabbouch-speyer.de,cluster_0,False
mazda-autohaus-sturne-grimma.de,cluster_0,False
mazda-autohaus-rausch-dresden.de,cluster_0,False
mazda-autohaus-henn-weilamrhein.de,cluster_0,False
mazda-autohaus-schindlbeck-schwandorf.de,cluster_0,False
mazda-autohaus-born-ludwigslust.de,cluster_0,False
mazda-autohaus-klein-bietigheim-bissingen.de,cluster_0,False
mazda-autohaus-kalina-gelsenkirchen.de,cluster_0,False
mazda-autohaus-richter-forst.de,cluster_0,False
mazda-autohaus-blank-dinkelsbuehl.de,cluster_0,False
mazda-autohaus-eisele-langenau.de,cluster_0,False
mazda-autohaus-flindt-marschacht.de,cluster_0,False
mazda-autohaus-engelbart-delmenhorst.de,cluster_0,False
mazda-autohaus-mueller-plauen.de,cluster_0,False
mazda-autohaus-behrens-magdeburg-ottersleben.de,cluster_0,False
mazda-autohaus-haese-erkrath-hochdahl.de,cluster_0,False
mazda-autohaus-goedde-meschede.de,cluster_0,False
mazda-autohaus-ludwig-halle-neustadt.de,cluster_0,False
mazda-autohaus-tietje-holmb-wedel.de,cluster_0,False
mazda-autohaus-grasdanner-holzkirchen.de,cluster_0,False
mazda-autohaus-mueller-und-thurnes-tholey.de,cluster_0,False
mazda-automobile-weberpals-sonneberg-hoenbach.de,cluster_0,False
mazda-autohaus-wagner-dortmund.de,cluster_0,False
mazda-autohaus-schmidt-meschede.de,cluster_0,False
mazda-autohaus-gollan-hamm.de,cluster_0,False
mazda-autohaus-bolluck-goslar.de,cluster_0,False
mazda-autohaus-hellwig-hoyerswerda.de,cluster_0,False
mazda-autohaus-lommel-grettstadt.de,cluster_0,False
mazda-autohaus-sturne-rochlitz.de,cluster_0,False
mazda-autohaus-doerenkaemper-bad-hersfeld.de,cluster_0,False
mazda-autohaus-schneider-sondershausen.de,cluster_0,False
mazda-automobile-maier-cham.de,cluster_0,False
mazda-autohaus-moellenkamp-rheine.de,cluster_0,False
mazda-autohaus-tillack-perleberg.de,cluster_0,False
mazda-autohaus-wassing-ahaus-wuellen.de,cluster_0,False
mazda-autohaus-stiefel-muehlacker.de,cluster_0,False
mazda-autopark-rath-krefeld.de,cluster_0,False
mazda-autohaus-baumgart-altensteig.de,cluster_0,False
mazda-autohaus-schmidt-oschatz.de,cluster_0,False
mazda-autohaus-kramer-kirchberg.de,cluster_0,False
mazda-autohaus-wedding-engelskirchen-albertsth.de,cluster_0,False
bcurelaser.com,cluster_1,False
bcurelaser.co.il,cluster_1,False
ovb.ro,cluster_2,False
ovb.at,cluster_2,False
ovb.gr,cluster_2,False
honda-metz.com,cluster_3,False
honda-larochelle.com,cluster_3,False
honda-grenoble.com,cluster_3,False
honda-mulhouse.com,cluster_3,False
honda-rouen.com,cluster_3,False
honda-montpellier.com,cluster_3,False
honda-villebon.com,cluster_3,False
honda-saint-maur.com,cluster_3,False
honda-lorient.com,cluster_3,False
honda-chateauroux.com,cluster_3,False
honda-pirola.com,cluster_3,False
honda-reims.com,cluster_3,False
honda-marseille.com,cluster_3,False
honda-caen.com,cluster_3,False
honda-dijon.com,cluster_3,False
honda-rennes.com,cluster_3,False
honda-toulouse.com,cluster_3,False
honda-cannes.com,cluster_3,False
honda-meaux.com,cluster_3,False
honda-limoges.com,cluster_3,False
honda-lemans.com,cluster_3,False
honda-angouleme.com,cluster_3,False
